data,pubblicazione,url,fascia,vaccino,popolazione,diagnosi,ricoveri,intensive,decessi,popolazione_giorno,diagnosi_start,diagnosi_end,ricoveri_start,ricoveri_end,intensive_start,intensive_end,decessi_start,decessi_end,totale,percentuale_popolazione,percentuale_diagnosi,percentuale_ricoveri,percentuale_intensive,percentuale_decessi
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,80+,vaccinati completo,4228199,4033,894,45,337,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,4563500,0.9265254738687411,0.0009538340082857974,0.0002114375411374914,1.0642829251887151e-05,7.970296573079933e-05
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,12-39,non vaccinati,3851600,16805,486,30,4,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,17435555,0.22090492674308332,0.004363121819503583,0.00012618132724062726,7.788970817322671e-06,1.0385294423096894e-06
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,12-39,vaccinati incompleto,1387907,1478,31,2,3,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,17435555,0.07960211189147692,0.0010649128507889938,2.2335790510459276e-05,1.4410187426102757e-06,2.1615281139154137e-06
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,12-39,vaccinati completo,12196048,10123,90,0,3,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,17435555,0.6994929613654397,0.0008300229713756456,7.379439634871886e-06,0.0,2.4598132116239624e-07
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,40-59,non vaccinati,3246622,12924,940,99,53,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,18438105,0.1760821949978048,0.003980752917955956,0.0002895317040296037,3.0493232658436985e-05,1.6324659908052124e-05
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,40-59,vaccinati incompleto,876762,1163,32,2,2,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,18438105,0.04755163288201255,0.0013264717220864955,3.649793216403083e-05,2.281120760251927e-06,2.281120760251927e-06
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,40-59,vaccinati completo,14314721,15271,219,14,9,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,18438105,0.7763661721201827,0.0010668038867121476,1.5298935969482045e-05,9.780141715650623e-07,6.287233960061115e-07
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,60-79,non vaccinati,1349623,4614,895,174,169,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,13572779,0.09943601085673022,0.003418732490480675,0.0006631481532250117,0.0001289248923588291,0.00012522015407265584
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,60-79,vaccinati incompleto,295045,471,49,7,7,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,13572779,0.021737994849838783,0.0015963666559338406,0.00016607636123303226,2.372519446186175e-05,2.372519446186175e-05
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,60-79,vaccinati completo,11928111,11006,737,82,102,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,13572779,0.878825994293431,0.0009226942975295921,6.178681603482731e-05,6.874516845123255e-06,8.551228270763074e-06
